Href;Name;LastFightScore;ScaledScore;Rank
54f64b5e283b0ce7;Ilia Topuria;54.83111101498592;100.0;1
e1248941344b3288;Alexander Volkanovski;16.477178525544527;30.05;2
150ff4cc642270b9;Max Holloway;3.7242254340546626;6.79;3
f166e93d04a8c274;Diego Lopes;3.5697899830809767;6.51;4
def8166ff24bd237;Brian Ortega;3.4752737779843317;6.34;5
cbf5e6f231b55443;Yair Rodriguez;3.133675744657485;5.72;6
fba03cd6cc28dc41;Josh Emmett;1.7154470189638664;3.13;7
396fe87b84ac2e1c;Lerone Murphy;1.6326546850683683;2.98;8
76e2870ffafbe38f;Movsar Evloev;1.0868483918980933;1.98;9
040a74bb0a465c54;Arnold Allen;1.0768483918980933;1.96;9
9560ff14eb3129f7;Giga Chikadze;0.9902062890246158;1.81;11
97cf1a2c7c5e7889;Steve Garcia;0.9683002327089102;1.77;12
4682bc59d5f55145;Sean Woodson;0.9190112325551177;1.68;13
d9c6f19f958643e9;Bryce Mitchell;0.8074109662539094;1.47;14
82a5152216251682;Dan Ige;0.7803667863398489;1.42;15
7aa3d6964eff4877;Alex Caceres;0.751275849141945;1.37;16
cb696ebfb6598724;Aljamain Sterling;0.7105236714201526;1.3;17
751de04455cfaac0;Calvin Kattar;0.7005236714201526;1.28;17
e1d40e8782d80bc2;William Gomis;0.6922043945953945;1.26;19
791c8437b341fba5;Joanderson Brito;0.6822043945953945;1.24;19
52c2ae6d2f2d2613;Youssef Zalal;0.6698985599032854;1.22;21
64a50dad704d1d49;Edson Barboza;0.6556279509659908;1.2;22
8fd808923cffff82;Andre Fili;0.6412359586971463;1.17;23
902ec2cc48c8ae8a;Julian Erosa;0.5313232374071629;0.97;24
31f8081c7600da93;Kyle Nelson;0.5266575114639371;0.96;25
b8bbdeff718dbb7d;Pat Sabatini;0.5132945620381528;0.94;26
e0c6edcb5b5d0b90;Chepe Mariscal;0.48091021224123087;0.88;27
aa171d55d4b5208f;Billy Quarantillo;0.45975111511073535;0.84;28
329e403448756217;Nathaniel Wood;0.42439771778984525;0.77;29
d247691a6c0e9034;Cub Swanson;0.41447177425070225;0.76;30
583ee11abddfc581;Nate Landwehr;0.41250981674380033;0.75;31
29af297d9f1de0f8;Damon Jackson;0.3967572408476848;0.72;32
d2f43cfaf8ca3560;Fernando Padilla;0.394576701796145;0.72;33
ffe9703408fb5964;David Onama;0.3806643251975246;0.69;34
9256f591b30c073e;Felipe Lima;0.3662394580050001;0.67;35
87c0b1c696ddfb43;Jonathan Pearce;0.3645225313719257;0.66;36
92a9aa9c93192871;Darren Elkins;0.3517145080663412;0.64;37
8d11d9c13e2ccdf7;Muhammad Naimov;0.3471287419816738;0.63;38
52ef95b5860fb28c;Jean Silva;0.3190582919868459;0.58;39
f1d64ae34e088832;Charles Jourdain;0.30905829198684587;0.56;40
94426bb170c88115;Sodiq Yusuff;0.2822395376786239;0.51;41
1ae8f3c723aacff4;Ricardo Ramos;0.2778350780950363;0.51;42
d964a59c48381cb6;Danny Silva;0.2291573247144689;0.42;43
e93b04e308913c2e;Dooho Choi;0.2152713503139017;0.39;44
6751eacd16bd59bc;Josh Culibao;0.21054691496297173;0.38;45
