Href;Name;LastFightScore;ScaledScore;Rank
a0f0004aadf10b71;Alexandre Pantoja;21.60546552996853;100.0;1
6e15f63b6c2e2c15;Brandon Royval;14.856200367086185;68.76;2
792be9a24df82ed6;Brandon Moreno;14.000671826408299;64.8;3
4461d7e47375a895;Tatsuro Taira;0.8859339476972645;4.1;4
853eb0dd5c0e2149;Kai Kara-France;0.795095255866507;3.68;4
ab2b4ff41d6ebe0f;Alex Perez;0.6000054619611518;2.78;6
8d3273573b85be09;Asu Almabayev;0.5699638418322246;2.64;6
814e5233e2acf2ee;Charles Johnson;0.4887409809041475;2.26;6
294aa73dbf37d281;Bruno Silva;0.4736524188406305;2.19;9
6d35bf94f7d30241;Amir Albazi;0.46264512241654177;2.14;9
32ab52e5de93092d;Steve Erceg;0.36374722445943625;1.68;9
1a31ef98efce7a79;Matheus Nicolau;0.33818403848274653;1.57;12
f00ac08ab056af5d;Tagir Ulanbekov;0.2936478039466741;1.36;12
7f6ed67d3ed3c036;Cody Durden;0.2494746845333695;1.15;12
65adf3856c4d9256;Jafel Filho;0.21716692965792245;1.01;15
c96d9178c9ed9e62;Tim Elliott;0.18575461582376462;0.86;15
5d1b7e3dd9e11074;Manel Kape;0.17617076099488513;0.82;15
67c1d46f4ed16f9e;Matt Schnell;0.166468201482071;0.77;15
f2900678e98f6d6a;Ronaldo Rodriguez;0.16464243445096508;0.76;15
b1f21ce050035d58;Andre Lima;0.1471987329136526;0.68;15
6d68c1afe954f121;Ode Osbourne;0.14669167450478768;0.68;21
17e97649403ba428;Joshua Van;0.13288319139842808;0.62;22
7d0a1968b38ca439;Ramazan Temirov;0.1064443301549645;0.49;23
253076a23d03dcd0;Allan Nascimento;0.10051901437937125;0.47;24
3fa97913cfd205d3;Alessandro Costa;0.09867965010668112;0.46;25
7f1bf0c255ec8756;Azat Maksum;0.0944636872386059;0.44;26
c051c2e12d692b8a;Jesus Aguilar;0.09185515575536411;0.43;27
09e62c450e754913;Jimmy Flick;0.09081863878719848;0.42;28
b671bdf981ad527d;HyunSung Park;0.08671209634756191;0.4;29
83455a9d17f57dae;Rafael Estevam;0.08383954652816357;0.39;30
b62d5280966b2460;Clayton Carpenter;0.08296324654424961;0.38;31
2f43a3e82661fa99;Rei Tsuruya;0.07114107878283578;0.33;32
e8fe9c15d348e778;Daniel Barez;0.06158406545359976;0.29;33
077e3ace32b72be9;CJ Vergara;0.0574079489480068;0.27;34
5cdf5339728f580d;Felipe dos Santos;0.05637466239665456;0.26;35
3cf18e01cb6cbde3;Sumudaerji;0.0554147012997836;0.26;36
798e48f9e7f6ba22;Carlos Hernandez;0.04307736708759845;0.2;37
5ef94841c4bc3f86;Edgar Chairez;0.011535975857268217;0.05;38
adccbc19b22e19af;SeungGuk Choi;0.004960226063249008;0.02;39
53c10176e3bc7416;Felipe Bunes;0.002170512377917589;0.01;40
0be6776db31d98ec;Mitch Raposo;0.001835447323752272;0.01;41
84f727cf0166d6f2;Jose Johnson;0.0018351712402473984;0.01;42
2bd98ab77a8daa75;Stewart Nicoll;0.0016375067126773533;0.01;43
e0d3d9b564f95635;Lucas Rocha;0.0014121619037372225;0.01;44
65cdf4ec31143d86;Vinicius Salvador;-0.005289361855289127;-0.02;45
34b96d52db1d26e6;Kevin Borjas;-0.005743480432476835;-0.03;46
