Href;Name;LastFightScore;ScaledScore;Rank
275aca31f61ba28c;Islam Makhachev;30.012049218455537;100.0;1
150ff4cc642270b9;Max Holloway;11.026024784778981;36.74;2
eae48ff31db420c2;Arman Tsarukyan;10.397335421806735;34.64;3
07225ba28ae309b6;Charles Oliveira;10.387335421806736;34.61;3
9e8f6c728eb01124;Justin Gaethje;8.532189432058566;28.43;5
029eaff01e6bb8f0;Dustin Poirier;5.14476879976536;17.14;6
b6452706b373eea1;Renato Moicano;3.4423724632502393;11.47;7
193b9d1858bc4df3;Dan Hooker;3.1649660444188292;10.55;8
72db2a14ffa73ece;Mateusz Gamrot;2.571538667641731;8.57;9
7826923b47f8d72a;Paddy Pimblett;2.519379728682402;8.39;9
4d8fa64202cee4c1;Jalin Turner;1.9788458599383862;6.59;11
887961364be5ceb3;King Green;1.7763707631775494;5.92;12
08af939f41b5a57b;Beneil Dariush;1.597547637857532;5.32;12
c2299ec916bc7c56;Benoit Saint Denis;1.3537527885406193;4.51;14
c814b4c899793af6;Rafael Fiziev;1.2320915744516643;4.11;14
1e4f273069fb9e85;Fares Ziam;1.2184862694943588;4.06;14
4b93a88f3b1de35b;Michael Chandler;0.9557692968249155;3.18;17
99bd51917728c25d;Grant Dawson;0.9363486309973772;3.12;17
dccb63727f2f5f74;Matt Frevola;0.8767096287028576;2.92;17
b7b84ccd221be298;Nasrat Haqparast;0.8504201733143428;2.83;17
52ef95b5860fb28c;Jean Silva;0.8021971435471295;2.67;21
519e4fe37ce9ff75;Drew Dober;0.7921971435471294;2.64;22
22a92d7f62195791;Tony Ferguson;0.6855233774811571;2.28;23
6a2f7c151031653d;Rafael Dos Anjos;0.6310460934833106;2.1;24
5b86d491d63890c5;Ludovit Klein;0.6229679083531688;2.08;25
7cbf7c78d3b34218;Drakkar Klose;0.5725271639578545;1.91;26
f53d4f21d1b5f2dc;Diego Ferreira;0.5646663529356503;1.88;27
e4a47b07044ddd72;Ignacio Bahamondes;0.5410400255611415;1.8;28
323d4ca260dfa0ba;Esteban Ribovics;0.5024069973359573;1.67;29
58bbef3770bb2dfc;Joel Alvarez;0.49251392927247617;1.64;30
7026eca45f65377b;Jared Gordon;0.41956880961880144;1.4;31
4148802ae4a50768;Daniel Zellhuber;0.3688940147727023;1.23;32
9c393e836a852f30;Mauricio Ruffy;0.3583229191108376;1.19;33
af9f42e6894047fc;Jamie Mullarkey;0.3514385630888017;1.17;34
f4c49976c75c5ab2;Conor McGregor;0.35109783480199525;1.17;35
d945aae53e3e54e6;Thiago Moises;0.3480559279050425;1.16;36
262a7d06203657e6;Alexander Hernandez;0.3448429798867401;1.15;37
eb393afdbe3293d5;Ismael Bonfim;0.3057049373914022;1.02;38
d1941565abf50b16;Jim Miller;0.29804917623705784;0.99;39
37ed1ab2f8b819f4;Brad Riddell;0.29443625547825186;0.98;40
d747eb273a40a920;Claudio Puelles;0.2842864345639607;0.95;41
e132d47bd9efbbe0;Rafa Garcia;0.2717144819188432;0.91;42
849c5d9979df5357;Mateusz Rebecki;0.26393536981277493;0.88;43
ae7fe94f117f98cf;Joaquim Silva;0.24882900687934767;0.83;44
c47df9303d318c67;Clay Guida;0.2448831481017368;0.82;45
2e7878927067fdca;Manuel Torres;0.2269122571893346;0.76;46
971246648e162f0d;Chase Hooper;0.2223980739802074;0.74;47
c77a953488e5607d;Vinc Pichel;0.205648745804988;0.69;48
511e82663651438d;Michael Johnson;0.2004210928098795;0.67;49
af65aa688d13eedf;Joe Solecki;0.19260451735672526;0.64;50
ff62013d2fce6d13;Nazim Sadykhov;0.17055094329023313;0.57;51
809bd1a871491508;Terrance McKinney;0.15721449463833836;0.52;52
3920d0cc288f9b0d;Francisco Prado;0.1570154606573306;0.52;53
fd406a32a6fb3a29;Chris Duncan;0.15250540286108855;0.51;54
4c88a1db5a46c6a4;Jai Herbert;0.1479872160584273;0.49;55
ee18ff42063174df;Ottman Azaitar;0.14131967533244894;0.47;56
59279a7c978f7da0;Al Iaquinta;0.14045639149696018;0.47;57
cfc3e7bb44685289;Trey Ogden;0.137233094128055;0.46;58
fb3e61720be4690c;Mike Davis;0.1369636113628913;0.46;59
19c591115a58982c;Viacheslav Borshchev;0.1331662433268476;0.44;60
8c1ca54b5089d199;Maheshate;0.12412765647206356;0.41;61
bf2c8e01b07d3eb1;Myktybek Orolbai;0.12004620188758298;0.4;62
48a9a128784d53d1;Elves Brener;0.1086734151511837;0.36;63
b39f7a6c2be17ee8;Charlie Campbell;0.0994707469422503;0.33;64
ac026518a9b4dc0f;Jordan Leavitt;0.09394206109473939;0.31;65
436f970c9ea9169c;Gabriel Benitez;0.0859519879579926;0.29;66
2747c60e42d9d75f;David Teymur;0.0836857190265018;0.28;67
c739c2995a275314;Yanal Ashmouz;0.08134415400397654;0.27;68
06626b6287e1ae1e;Chris Padilla;0.07216888486314932;0.24;69
a7151778b3381036;Kurt Holobaugh;0.06864162096820234;0.23;70
ca28cdf526d6b6e9;Nurullo Aliev;0.06557608704480511;0.22;71
38c626ca912c7bac;Damir Hadzovic;0.05866115444006814;0.2;72
a72a2a769fa5a2be;Anshul Jubli;0.05348529133975509;0.18;73
7772b283d288dbe2;Guram Kutateladze;0.05255201654917703;0.18;74
37f560436d745c18;Nikolas Motta;0.05198543237569002;0.17;75
d2cd7a69cc55e7ed;Austin Hubbard;0.0514704057081541;0.17;76
6c3b2525436cf5d4;Tom Nolan;0.05040885361559744;0.17;77
8c169fbe1ac33637;Loik Radzhabov;0.05004457537489191;0.17;78
37c5366d18ed6c05;Roosevelt Roberts;0.048375587608182176;0.16;79
0bc697c5936a2d0a;Trevor Peek;0.04111456420946187;0.14;80
a29db9cd4f9ccea5;Natan Levy;0.04017720680880176;0.13;81
5d495dec23d7c68e;Francis Marshall;0.03662601152683099;0.12;82
e2be0c1a9b886d92;MarQuel Mederos;0.03255761783158488;0.11;83
f9b200db02b488d9;Lando Vannata;0.03194036020581128;0.11;84
4bdedbdeedff7d1d;Bolaji Oki;0.029965066205695348;0.1;85
3bad7ef643840f67;Joe Lauzon;0.02780702255507386;0.09;86
ec13c393d029297d;Kaue Fernandes;0.027340087636962062;0.09;87
d9a56ecb6e94f02e;Evan Elder;0.024030480817412797;0.08;88
e1248941344b3288;Alexander Volkanovski;0.016179808440749805;0.05;89
a13d755965a4ec9f;Rongzhu;0.015179256054124395;0.05;90
d403b1a6f278c95e;Vagner Rocha;0.0052097007798601845;0.02;91
a75a48bfe776b2c2;Jesse Butler;0.004354154598456601;0.01;92
0e46690e55a8df75;Timmy Cuamba;0.004023982631397349;0.01;93
597499ac7a5aac62;Abdul-Kareem Al-Selwady;0.004001393331235394;0.01;94
65db4065e2bc107d;Darrius Flowers;0.003994251201702808;0.01;95
e99eb0ef25885de5;Mitch Ramirez;0.0039883872938431125;0.01;96
6d38e41efa47a72d;Jordan Vucenic;0.003874618292699317;0.01;97
c4d039123e62f6a9;Dennis Buzukja;0.0038693726950983767;0.01;98
40a456a25d52ee65;Rolando Bedoya;0.003813669220984882;0.01;99
20bccc9bb4ceb23e;Melquizael Costa;-0.0014297517326520553;-0.0;100
b4c57a8c2b773e82;Michal Figlak;-0.0015497168137638415;-0.01;101
3e708ce33b6b18e6;Victor Martinez;-0.0016555265903862963;-0.01;102
267f4a6568abe245;Landon Quinones;-0.001793298149247737;-0.01;103
3753714927f18437;Mohammad Yahya;-0.001962240450141435;-0.01;104
dc07493a87dc0a6e;Alex Reyes;-0.0020098499549858814;-0.01;105
93b2b7caa457cbea;James Llontop;-0.0022078703240399544;-0.01;106
