Href;Name;LastFightScore;ScaledScore;Rank
3253b16d38ae087d;Julianna Pena;3.676395156862168;100.0;1
1af1170ed937cba7;Kayla Harrison;1.0968327389480064;29.83;2
fc169c387b4b465d;Raquel Pennington;1.08225197923928;29.44;3
b9706f80d005036c;Ketlen Vieira;0.7305360305558409;19.87;4
634e2fb70bde3fd5;Holly Holm;0.5666280418159793;15.41;5
9cdd2da1a9104a0b;Macy Chiasson;0.4721898638965084;12.84;6
d3f5d33d61cd00c9;Norma Dumont;0.44889911868462407;12.21;7
578ef12674df1e6a;Irene Aldana;0.3630569551247738;9.88;8
351c4ec637380ad5;Karol Rosa;0.27908300875773184;7.59;9
06e4245d16fc5315;Ailin Perez;0.2327662018327717;6.33;10
b96619b3acd7d9da;Miesha Tate;0.22826145294915542;6.21;11
e3964ece586e0635;Jacqueline Cavalcanti;0.22690773766903616;6.17;11
cc8c623cca88f54f;Mayra Bueno Silva;0.1816556166167899;4.94;13
f2b3f4ef3f780168;Nora Cornolle;0.17616887288108107;4.79;14
bd532e9a2b93870c;Melissa Mullins;0.11618888661592885;3.16;15
f9ab66e67240db7b;Joselyne Edwards;0.11156616243885362;3.03;16
2c5f5749569eef66;Tainara Lisboa;0.09275057665208594;2.52;17
103e2e33a60683e1;Irina Alekseeva;0.09025420006008222;2.45;17
07047eb7d17fb0a2;Daria Zhelezniakova;0.06779759280063105;1.84;19
68d35296f566792b;Josiane Nunes;0.06310416727731022;1.72;20
a4a80dd7336ffd59;Melissa Gatto;0.06265084837685345;1.7;21
60193e707634e560;Montserrat Rendon;0.05497594239747674;1.5;22
86d9dbe1bfcbade7;Julia Avila;0.050814560912315586;1.38;23
b1e5bcaad32a3cac;Priscila Cachoeira;0.03025175678287968;0.82;24
4948e412fa6ab67d;Ravena Oliveira;0.002936540535943914;0.08;25
3c26c420584d912d;Hailey Cowan;0.0018707835044473754;0.05;26
9f5e3c20ce40b344;Klaudia Sygula;0.0018200630815534344;0.05;27
