Href;Name;LastFightScore;ScaledScore;Rank
132deb59abae64b1;Valentina Shevchenko;8.012377402394772;100.0;1
e8b731feff72294b;Alexa Grasso;3.456151265090385;43.14;2
34ff304266360297;Manon Fiorot;1.4487981370856073;18.08;3
669970f7feba8ecd;Erin Blanchfield;1.4387981370856073;17.96;4
262d32ebda89efc4;Natalia Silva;1.1512921228294193;14.37;5
6a740daf1b279661;Maycee Barber;0.951019806219846;11.87;6
a9e260472d321361;Jasmine Jasudavicius;0.8575778918465358;10.7;7
9d62c2d8ee151f08;Karine Silva;0.7269983557410533;9.07;8
36541f1e6c5d4955;Viviane Araujo;0.6235804434857107;7.78;9
6551c64fbcd1a467;Ariane da Silva;0.5811460920229694;7.25;10
47b63240018d5d86;Rose Namajunas;0.515383344915812;6.43;11
04835018f90b118c;Casey O'Neill;0.4409126358864647;5.5;12
f29a6350c69f4a33;Miranda Maverick;0.4218348706410246;5.26;13
e872e9a9a902c045;Katlyn Cerminara;0.38227332486184906;4.77;14
6a1901c62ab3870f;Jessica Andrade;0.361848010908508;4.52;15
4798e823ada58fe9;Veronica Hardy;0.348152854229657;4.35;16
68d4a891e5cf2029;Tracy Cortez;0.3182638671980049;3.97;17
528b071cf3da7c56;Luana Carolina;0.2895250666369014;3.61;18
6fd953151d981979;JJ Aldrich;0.25085672972392525;3.13;19
beecb672a279223e;Amanda Ribas;0.23393441307334933;2.92;20
a78a87d8c2bbb1cb;Julija Stoliarenko;0.21750176801993817;2.71;21
b4192a975027aab6;Maryna Moroz;0.18406068085839664;2.3;22
80d8aed0ca9b00f3;Montana De La Rosa;0.1835711794823025;2.29;23
5078e1dacf9d25f4;Luana Santos;0.1727133689790308;2.16;24
d7338bcb141abd2c;Antonina Shevchenko;0.14358436484779719;1.79;25
b08012bbe542592a;Tatiana Suarez;0.12777222962276097;1.59;26
05fa626cb33d15b8;Andrea Lee;0.11123188078849888;1.39;27
a4a80dd7336ffd59;Melissa Gatto;0.10502028080899516;1.31;28
b1e5bcaad32a3cac;Priscila Cachoeira;0.094681938712693;1.18;29
5c637af9472ae7cc;Jamey-Lyn Horth;0.06864554345507429;0.86;30
2997e7fe3c9d3d4a;Wang Cong;0.0655332595758924;0.82;31
a6eb54ae17a551be;Gabriella Fernandes;0.053612863996078536;0.67;32
27b388f0aab49780;Dione Barbosa;0.04441248136101747;0.55;33
59c438c81fbf3ece;Tereza Bleda;0.03441688237587097;0.43;34
38c5817ade8a8014;Ivana Petrovic;0.026912272895932888;0.34;35
aa0c573da7119292;Juliana Miller;0.025827796491995708;0.32;36
b96619b3acd7d9da;Miesha Tate;0.0011228190819769959;0.01;37
f1ab6f37492c630a;Carli Judice;0.00027195748177771296;0.0;38
e4faa79383c9f214;Ernesta Kareckaite;-0.002324199687958243;-0.03;39
4333a8e70a672eb7;Brogan Walker;-0.008663085187612404;-0.11;40
